city,scf,zip_code
CAPE GIRARDEAU,639,639xx
KANSAS CITY,640,640xx
KANSAS CITY,641,641xx
SAINT JOSEPH,644,644xx
SAINT JOSEPH,645,645xx
CHILLICOTHE,646,646xx
HARRISONVILLE,647,647xx
SPRINGFIELD,648,648xx
KANSAS CITY,649,649xx
COLUMBIA,650,650xx
COLUMBIA,651,651xx
COLUMBIA,652,652xx
COLUMBIA,653,653xx
SPRINGFIELD,654,654xx
SPRINGFIELD,655,655xx
SPRINGFIELD,656,656xx
SPRINGFIELD,657,657xx
SPRINGFIELD,658,658xx
KANSAS CITY,660,660xx
KANSAS CITY,661,661xx
KANSAS CITY,662,662xx
OTHERS,663,663xx
TOPEKA,664,664xx
TOPEKA,665,665xx
TOPEKA,666,666xx
FORT SCOTT,667,667xx
TOPEKA,668,668xx
SALINA,669,669xx
WICHITA,670,670xx
WICHITA,671,671xx
WICHITA,672,672xx
INDEPENDENCE,673,673xx
SALINA,674,674xx
HUTCHINSON,675,675xx
HAYS,676,676xx
COLBY,677,677xx
DODGE CITY,678,678xx
LIBERAL,679,679xx
OMAHA,680,680xx
OMAHA,681,681xx
LINCOLN,683,683xx
LINCOLN,684,684xx
LINCOLN,685,685xx
NORFOLK,686,686xx
NORFOLK,687,687xx
GRAND ISLAND,688,688xx
GRAND ISLAND,689,689xx
MC COOK,690,690xx
NORTH PLATTE,691,691xx
VALENTINE,692,692xx
ALLIANCE,693,693xx
NEW ORLEANS,700,700xx
NEW ORLEANS,701,701xx
THIBODAUX,703,703xx
MANDEVILLE,704,704xx
LAFAYETTE,705,705xx
LAKE CHARLES,706,706xx
BATON ROUGE,707,707xx
BATON ROUGE,708,708xx
SHREVEPORT,710,710xx
SHREVEPORT,711,711xx
MONROE,712,712xx
ALEXANDRIA,713,713xx
ALEXANDRIA,714,714xx
PINE BLUFF,716,716xx
CAMDEN,717,717xx
TEXARKANA,718,718xx
HOT SPRINGS NATIONAL PARK,719,719xx
LITTLE ROCK,720,720xx
LITTLE ROCK,721,721xx
LITTLE ROCK,722,722xx
MEMPHIS,723,723xx
JONESBORO,724,724xx
BATESVILLE,725,725xx
HARRISON,726,726xx
FAYETTEVILLE,727,727xx
RUSSELLVILLE,728,728xx
FORT SMITH,729,729xx
OKLAHOMA CITY,730,730xx
OKLAHOMA CITY,731,731xx
ARDMORE,734,734xx
LAWTON,735,735xx
CLINTON,736,736xx
ENID,737,737xx
WOODWARD,738,738xx
LIBERAL,739,739xx
TULSA,740,740xx
TULSA,741,741xx
TULSA,743,743xx
MUSKOGEE,744,744xx
MCALESTER,745,745xx
PONCA CITY,746,746xx
DURANT,747,747xx
SHAWNEE,748,748xx
POTEAU,749,749xx
COPPELL,750,750xx
DALLAS,751,751xx
DALLAS,752,752xx
DALLAS,753,753xx
GREENVILLE,754,754xx
TEXARKANA,755,755xx
TYLER,756,756xx
TYLER,757,757xx
PALESTINE,758,758xx
LUFKIN,759,759xx
FORT WORTH,760,760xx
FORT WORTH,761,761xx
FORT WORTH,762,762xx
WICHITA FALLS,763,763xx
FORT WORTH,764,764xx
WACO,765,765xx
WACO,766,766xx
WACO,767,767xx
ABILENE,768,768xx
MIDLAND,769,769xx
HOUSTON,770,770xx
HOUSTON,772,772xx
NORTH HOUSTON,773,773xx
NORTH HOUSTON,774,774xx
NORTH HOUSTON,775,775xx
BEAUMONT,776,776xx
BEAUMONT,777,777xx
BRYAN,778,778xx
VICTORIA,779,779xx
SAN ANTONIO,780,780xx
SAN ANTONIO,781,781xx
SAN ANTONIO,782,782xx
CORPUS CHRISTI,783,783xx
CORPUS CHRISTI,784,784xx
MCALLEN,785,785xx
AUSTIN,786,786xx
AUSTIN,787,787xx
SAN ANTONIO,788,788xx
AUSTIN,789,789xx
AMARILLO,790,790xx
AMARILLO,791,791xx
CHILDRESS,792,792xx
LUBBOCK,793,793xx
LUBBOCK,794,794xx
ABILENE,795,795xx
ABILENE,796,796xx
MIDLAND,797,797xx
EL PASO,798,798xx
EL PASO,799,799xx
DENVER,800,800xx
DENVER,801,801xx
DENVER,802,802xx
DENVER,803,803xx
DENVER,804,804xx
LONGMONT,805,805xx
DENVER,806,806xx
DENVER,807,807xx
COLORADO SPRINGS,808,808xx
COLORADO SPRINGS,809,809xx
COLORADO SPRINGS,810,810xx
ALAMOSA,811,811xx
SALIDA,812,812xx
DURANGO,813,813xx
GRAND JUNCTION,814,814xx
GRAND JUNCTION,815,815xx
GLENWOOD SPRINGS,816,816xx
CHEYENNE,820,820xx
BILLINGS,821,821xx
WHEATLAND,822,822xx
RAWLINS,823,823xx
WORLAND,824,824xx
RIVERTON,825,825xx
CASPER,826,826xx
GILLETTE,827,827xx
SHERIDAN,828,828xx
ROCK SPRINGS,829,829xx
JACKSON,830,830xx
KEMMERER,831,831xx
POCATELLO,832,832xx
TWIN FALLS,833,833xx
POCATELLO,834,834xx
LEWISTON,835,835xx
BOISE,836,836xx
BOISE,837,837xx
SPOKANE,838,838xx
SALT LAKE CITY,840,840xx
SALT LAKE CITY,841,841xx
SALT LAKE CITY,842,842xx
SALT LAKE CITY,843,843xx
SALT LAKE CITY,844,844xx
PROVO,845,845xx
PROVO,846,846xx
PROVO,847,847xx
PHOENIX,850,850xx
MESA,851,851xx
PHOENIX,852,852xx
PHOENIX,853,853xx
GLOBE,855,855xx
TUCSON,856,856xx
TUCSON,857,857xx
SHOW LOW,859,859xx
FLAGSTAFF,860,860xx
PRESCOTT,863,863xx
KINGMAN,864,864xx
GALLUP,865,865xx
ALBUQUERQUE,870,870xx
ALBUQUERQUE,871,871xx
GALLUP,873,873xx
FARMINGTON,874,874xx
ALBUQUERQUE,875,875xx
LAS VEGAS,877,877xx
SOCORRO,878,878xx
TRUTH OR CONSEQUENCES,879,879xx
LAS CRUCES,880,880xx
CLOVIS,881,881xx
ROSWELL,882,882xx
ALAMOGORDO,883,883xx
TUCUMCARI,884,884xx
EL PASO,885,885xx
LAS VEGAS,889,889xx
LAS VEGAS,890,890xx
LAS VEGAS,891,891xx
ELY,893,893xx
RENO,894,894xx
RENO,895,895xx
